Slide TCGA-BP-4795-01A-02-BS2.9969f496-82fc-45c6-b82b-5eb02d17e383.svs Done. Slide Dimensions W=5500 H=4702, #Patches=16
Slide TCGA-B8-5163-01A-01-BS1.871bd8d6-8d21-4909-9e0c-11358d55e2c7.svs Done. Slide Dimensions W=5000 H=4541, #Patches=47
Slide TCGA-CZ-5458-11A-01-TS1.56a04ab6-825e-40d2-b130-8c63e496e346.svs Done. Slide Dimensions W=9500 H=5117, #Patches=53
Slide TCGA-BP-5000-01A-01-BS1.cba99bf3-4e0b-45ed-8206-e809c0720520.svs Done. Slide Dimensions W=5000 H=5305, #Patches=43
Slide TCGA-A3-3328-11A-01-TS1.628e1e96-75b7-44f9-8df9-908d16ca91f6.svs Done. Slide Dimensions W=5000 H=5782, #Patches=61
Slide TCGA-AK-3429-01A-02-BS2.c8ce6f37-faaa-4314-8385-04af5cd93945.svs Done. Slide Dimensions W=4000 H=5488, #Patches=18
Slide TCGA-CZ-4862-01A-01-BS1.8ce77ca9-b52b-484c-8e93-6aef1e895b2f.svs Done. Slide Dimensions W=7000 H=10290, #Patches=40
Slide TCGA-CW-5590-01A-01-BS1.d7ebbb2c-af58-4fef-a2f6-9b57b1b0c692.svs Done. Slide Dimensions W=6000 H=6967, #Patches=54
Slide TCGA-CJ-6032-01A-01-TS1.f9b05107-4951-4118-91f9-a5df84971491.svs Done. Slide Dimensions W=31894 H=9049, #Patches=117
Slide TCGA-BP-5174-01A-01-TS1.e8e66585-c89b-4d6e-9406-47d8e60dc3c4.svs Done. Slide Dimensions W=5500 H=4320, #Patches=36
Slide TCGA-BP-4344-01A-01-BS1.fe22c190-ddee-4bfc-9933-5dca74e59c53.svs Done. Slide Dimensions W=7000 H=4556, #Patches=6
Slide TCGA-A3-3362-11A-01-TS1.3a55eb76-3a5e-4a57-af28-e0a75c308770.svs Done. Slide Dimensions W=4500 H=4121, #Patches=46
Slide TCGA-CZ-5985-01A-01-BS1.a0e81dbc-5326-4287-b639-4ccee4805913.svs Done. Slide Dimensions W=16786 H=13109, #Patches=190
Slide TCGA-DV-5567-01A-01-BS1.245259b1-156a-466f-84eb-dcfaa6f2fc2d.svs Done. Slide Dimensions W=4000 H=3956, #Patches=12
Slide TCGA-AK-3455-01A-01-BS1.0f341a56-fd3b-47e0-8417-5e3256f80d5a.svs Done. Slide Dimensions W=6000 H=5725, #Patches=26
Slide TCGA-BP-4782-11A-01-TS1.1356bac5-74ed-4704-b6cb-5fc5ea8353e2.svs Done. Slide Dimensions W=6000 H=6713, #Patches=31
Slide TCGA-B0-4703-11A-01-BS1.4769c9a8-a838-4c84-aa82-82352245dcac.svs Done. Slide Dimensions W=10005 H=10816, #Patches=186
Slide TCGA-BP-5194-11A-01-TS1.a45d65f4-7e2a-41f7-9f71-7907ca8efe92.svs Done. Slide Dimensions W=6000 H=6745, #Patches=88
Slide TCGA-BP-4970-11A-01-TS1.b0e9363a-ce80-40ba-bdd2-66301220e7b6.svs Done. Slide Dimensions W=7500 H=8894, #Patches=150
Slide TCGA-BP-5199-11A-01-TS1.6dfd7a5d-49b8-4e37-ab66-5508d3b20513.svs Done. Slide Dimensions W=6000 H=6873, #Patches=89
Slide TCGA-BP-5008-11A-01-TS1.1643826a-f29f-42b5-af91-376935ae0f6f.svs Done. Slide Dimensions W=4000 H=6760, #Patches=38
Slide TCGA-BP-4986-11A-01-TS1.ebed4382-8206-4e6c-9b0f-a1f710f9c1f0.svs Done. Slide Dimensions W=5500 H=6328, #Patches=48
Slide TCGA-B0-4841-11A-01-TS1.186c1682-0c95-4247-ab64-4341f33cabe9.svs Done. Slide Dimensions W=6000 H=1300, #Patches=2
